city,company,id,link,location,salary,snippet,source,state,title,type,updated
San Francisco,Gap Inc.,-2794783469431609521,https://jooble.org/jdp/-2794783469431609521,"San Francisco, CA",,"&nbsp;...roadmap. 
~ Technically savvy with direct experience in: Cloud infrastructure (ideally Azure), self-service reporting tools (Power BI, <b>Tableau)</b>, and data catalog tools (Alation). 
~ A blend of both strategic and tactical thinking—someone who can identify and prioritize...&nbsp;",placed-app.com,CA,"Director, Platform Product Management (San Francisco)",Full-time,2025-07-16T12:13:00.9770000
Chicago,"Beacon Hill Staffing Group, LLC",4979563789678141908,https://jooble.org/jdp/4979563789678141908,"Chicago, IL",,"&nbsp;...proficiency in Microsoft Excel; experience with financial modeling and scenario analysis. 
~ Familiarity with tools such as Power BI, <b>Tableau,</b> or similar business intelligence software is a plus. 
~ Strong understanding of financial statements, metrics, and key...&nbsp;",ziprecruiter.com,IL,Financial Analyst,,2025-05-07T00:00:00.0000000
McLean,"IDR, Inc.",-4628871712278361675,https://jooble.org/jdp/-4628871712278361675,"McLean, VA",,"&nbsp;...with engineering and testing teams to coordinate performance testing and system optimization.  	 	
 	 Leverage BI platforms (e.g., <b>Tableau,</b> Power BI, MicroStrategy) to support data storytelling and usability.  	 	
 	 Collaborate with stakeholders to ensure continuous...&nbsp;",app.linkedin.com,VA,Dashboard Reporting Project Manager,,2025-07-15T00:00:00.0000000
Boston,Eisai,-6630307403627129626,https://jooble.org/jdp/-6630307403627129626,"Boston, MA",,"&nbsp;...techniques. 
 Proficiency in Python or R, with data manipulation and analysis experience. 
 Experience with visualization tools (e.g., <b>Tableau,</b> matplotlib). 
 Strong problem-solving and project management skills. 
 Excellent communication and presentation abilities....&nbsp;",placed-app.com,MA,"Associate Director, Data Scientist & Data Operations (Boston)",Full-time,2025-07-16T12:14:34.6130000
Foster,Gilead Sciences,8694625932262993117,https://jooble.org/jdp/8694625932262993117,"Foster, CA",,"&nbsp;...data visualization and reporting. 
 Oversee dashboard and analytics tool development using platforms like Spotfire, Power BI, or <b>Tableau.</b> 
 Support integration of predictive analytics, machine learning, and AI. 
 Collaborate with cross-functional teams to align analytics...&nbsp;",placed-app.com,CA,"Director, Business Intelligence - Medical Affairs (Foster City)",Full-time,2025-07-16T12:13:04.3630000
Pleasanton,Calfus,-5326072022611833253,https://jooble.org/jdp/-5326072022611833253,"Pleasanton, CA",,"&nbsp;...pipeline orchestration (Airflow, Azure Data Factory), and cloud storage (S3, ADLS, GCS). 
· Experience integrating BI tools (Power BI, <b>Tableau)</b> with data platforms for analytics. 
· Strong understanding of machine learning workflows, AI infrastructure, and emerging agentic...&nbsp;",placed-app.com,CA,Sr. Data Architect (Pleasanton),Full-time,2025-07-15T12:17:37.5400000
Pleasanton,Singularity IT Solutions,6949836192608864959,https://jooble.org/jdp/6949836192608864959,"Pleasanton, CA",,"&nbsp;...optimization. 
 Analytical and wired to consume large amounts of data and insights. Expertise in SQL, data visualization tools (e.g., <b>Tableau,</b> Power BI). 
 Background in retail, retail media, media platforms, and/or ad tech data in areas of advertising or marketing...&nbsp;",placed-app.com,CA,Technical Product Manager (Pleasanton),Full-time,2025-07-16T12:13:04.0000000
Phoenix,CoreAi Consulting,1394355985046534124,https://jooble.org/jdp/1394355985046534124,"Phoenix, AZ",,"&nbsp;...experiences. 
~ Proficiency in SQL and experience with Python, R, or other data analysis tools. 
~ Familiarity with BI tools like <b>Tableau,</b> Power BI, or Looker. 
~ Experience with A/B testing, user segmentation, and cohort analysis. 
~ Excellent analytical, problem-...&nbsp;",ziprecruiter.com,AZ,Product Analyst,,2025-07-14T00:00:00.0000000
Lake Havasu City,Havasu Regional Medical Center,-2744887052270763542,https://jooble.org/jdp/-2744887052270763542,"Lake Havasu City, AZ",,"&nbsp;...scenarios 
 Design, develop, and deliver ad hoc reports and data analysis for the Revenue Cycle departments using SQL, Power BI, <b>Tableau,</b> Business Objects, and other query tools 
 Redesign reporting processes by creating databases and building reporting models that align...&nbsp;",PJA.J-VERS,AZ,"Accountant, Senior Exempt",,2025-07-18T07:45:55.9130000
Deerfield Beach,The Learning Experience - World Headquarters,6180124066909154582,https://jooble.org/jdp/6180124066909154582,"Deerfield Beach, FL",,"&nbsp;...presentations 
 Experience with ERP systems such as NetSuite, Intacct, or Oracle Financials 
 Familiarity with SQL, Power BI, or <b>Tableau </b>is a strong plus 
 Experience with financial tools such as Hyperion and Datarails 
 Strong analytical and problem-solving skills...&nbsp;",ziprecruiter.com,FL,Senior Financial Analyst,,2025-06-19T00:00:00.0000000
Parkville,"Zones, LLC",-9032695600646189092,https://jooble.org/jdp/-9032695600646189092,"Parkville, MO",,"&nbsp;...and PowerShell to support automation and integration. 
 Collaborate with BI teams to enable API-based data feeds for Power BI and <b>Tableau </b>dashboards. 
 Troubleshoot and resolve API-related issues across environments (dev, QA, production). 
 Ensure compliance with security...&nbsp;",app.linkedin.com,MO,API Developer,,2025-07-15T00:00:00.0000000
Falmouth,True Anchor Recruiting,3868567333199229477,https://jooble.org/jdp/3868567333199229477,"Falmouth, MA",,"&nbsp;...align tech decisions with regulatory needs, and keep communication flowing 
 Drive data-backed reporting with tools like Power BI or <b>Tableau </b>
 Lead transitions of newly implemented solutions into business-as-usual operations 
 Support additional tech initiatives as...&nbsp;",ziprecruiter.com,MA,Information Technology Project Manager,,2025-07-14T00:00:00.0000000
Saint Petersburg,Commercial Aviation Solutions,-140788048137192819,https://jooble.org/jdp/-140788048137192819,"Saint Petersburg, FL",,"&nbsp;...competence in analyzing large volumes of data from different sources. 
 Experience of Business Intelligence tools (Microsoft Power BI, <b>Tableau,</b> Qlik, Anaplan, Datarails, etc). 
 Business qualification or been in a role that has required high levels of numeracy....&nbsp;",ziprecruiter.com,FL,Financial Planning & Analysis (FP&A) Analyst,,2025-07-04T00:00:00.0000000
Doral,TBG | The Bachrach Group,-466881785550440765,https://jooble.org/jdp/-466881785550440765,"Doral, FL",,"&nbsp;...and responsibilities as needed. 


 Qualifications: 

 Proficient in Excel, ETL processes, and data visualization tools such as <b>Tableau,</b> Power BI, or similar platforms. 
 Hands-on experience with HRIS platforms, with a strong preference for Oracle HCM. 
 Skilled in...&nbsp;",app.linkedin.com,FL,Human Resources Information System Analyst,,2025-07-15T00:00:00.0000000
Atlanta,MotoRad Ltd.,-7840477994939469392,https://jooble.org/jdp/-7840477994939469392,"Atlanta, GA",,"&nbsp;...Python, R, SQL, TensorFlow, Spark) and machine learning frameworks. 
 Strong expertise in business intelligence tools (Power BI, <b>Tableau,</b> Looker). 
 In-depth knowledge of supply chain dynamics, inventory management, and production planning. 
 Familiarity with ERP and...&nbsp;",ziprecruiter.com,GA,Senior Manager of Analytics Operations & Forecasting,,2025-06-17T00:00:00.0000000
New York,New York Family Dentistry,-1683393366537320718,https://jooble.org/jdp/-1683393366537320718,"New York, NY",,"&nbsp;...and work closely with them to determine acceptable solutions. 
 Fundamental analytical and conceptual thinking skills (Power BI, <b>Tableau,</b> Google Analytics and MS Excel Advanced user is preferred)
 Experience creating detailed reports and giving presentations. 
 Certification...&nbsp;",ziprecruiter.com,NY,Healthcare Project Manager,,2025-07-03T00:00:00.0000000
New York,Myers-Holum,5053741291265033971,https://jooble.org/jdp/5053741291265033971,"New York, NY",,"&nbsp;...ensuring alignment with client goals and industry best practices. 
 Skilled in using at least one BI platform: Oracle OAC, OBIEE, <b>Tableau,</b> Power BI, Looker, or QlikView. 
 Solid understanding of ERP systems and associated business processes (NetSuite experience is a strong...&nbsp;",ziprecruiter.com,NY,"Project Manager, Data Integration and BI",,2025-06-23T00:00:00.0000000
Malvern,Vanguard,-1049514006522887631,https://jooble.org/jdp/-1049514006522887631,"Malvern, PA",,"&nbsp;...financial services industry or a similarly data-intensive environment. 
~ Expert-level proficiency with BI tools (e.g., Power BI, <b>Tableau,</b> Qlik) and data storytelling techniques. 
~ Strong understanding of data warehousing, data modeling, and SQL. 
~ Proven track record...&nbsp;",ziprecruiter.com,PA,Senior Business Intelligence Analyst,,2025-06-27T00:00:00.0000000
San Diego,ZipRecruiter,4568491312184785407,https://jooble.org/jdp/4568491312184785407,"San Diego, CA",,"&nbsp;...with proven team leadership and client engagement skills 

 Good-to-Have Skills 
 Familiarity with  Power Platform 
 Exposure to  <b>Tableau </b> ,  Python  , and  AI-based solutions 
 Certification in  Azure Data Engineering  or  Microsoft Fabric 
 Project/team management...&nbsp;",placed-app.com,CA,Azure Data Architect (San Diego),Full-time,2025-07-15T12:17:49.2030000
Appleton,"Oh Snap! Pickling, LLC",-3897890159523372961,https://jooble.org/jdp/-3897890159523372961,"Appleton, WI",,"&nbsp;...analytical and problem-solving skills; proficiency in Excel (pivot tables, lookups) and data visualization tools (e.g., Power BI, <b>Tableau)</b>
~ Familiarity with ERP systems and demand planning software 
~ Excellent communication and organizational skills 
~ A passion for...&nbsp;",ziprecruiter.com,WI,Supply Chain Analyst,,2025-07-04T00:00:00.0000000
Irving,Newt Global,-3957219507659762027,https://jooble.org/jdp/-3957219507659762027,"Irving, TX",,"&nbsp;...management tools (e.g., Jira, MS Project, or similar). 
~ Strong skills in creating dashboards and reports using tools like Power BI, <b>Tableau,</b> or Excel. 

 Certifications (Preferred): 
 PMP, PMI-ACP, or equivalent project management certifications. 
 Domain...&nbsp;",ziprecruiter.com,TX,Project Manager,,2025-07-14T00:00:00.0000000
New Brunswick,IT Vision Group,376108750040596054,https://jooble.org/jdp/376108750040596054,"New Brunswick, NJ",,"&nbsp;...Job Description 
 Job Description  Title : <b>Tableau </b>Developer 
 Location:  Onsite in New Brunswick, NJ 
 Duration: 12 Months+
 
 
 Roles & Responsibilities 
 
 
 We are looking for an on-site Tableau resource to come to the New Brunswick, NJ office a couple of...&nbsp;",ziprecruiter.com,NJ,"Tableau Developer- Onsite in New Brunswick, NJ",,2025-06-22T00:00:00.0000000
Fort Myers,TeleSpecialists LLC,-6610495715770542342,https://jooble.org/jdp/-6610495715770542342,"Fort Myers, FL",,"&nbsp;...quarterly reporting, including KPI analysis and commentary 
 Develop and automate dashboards and reports using BI tools (e.g., Power BI, <b>Tableau,</b> Domo)
 Evaluate and streamline data inputs from ERP and operational systems for planning accuracy 
 Support ad hoc financial...&nbsp;",ziprecruiter.com,FL,FP&A Analyst,,2025-07-11T00:00:00.0000000
Ramsey,NeuraFlash,-8659314948077601384,https://jooble.org/jdp/-8659314948077601384,"Ramsey, NJ",,"&nbsp;...and insights. 
 What We're Looking For: 
 Strong fluency in Excel/Google Sheets, data modeling, and at least one BI tool (e.g., <b>Tableau,</b> Power BI, Looker, etc). 
 Salesforce administrative skills and report building a big plus 
 Willingness to learn new tools and enable...&nbsp;",ziprecruiter.com,NJ,Delivery Insights and Analytics Lead,,2025-07-13T00:00:00.0000000
Hillside,Robert Half,-4084844348847784527,https://jooble.org/jdp/-4084844348847784527,"Hillside, NJ",,"&nbsp;...Ability to thrive in a fast-paced environment, preferably within logistics or e-commerce. 
• Experience with tools such as Python, <b>Tableau,</b> or Power BI is highly desirable. 
• Strong analytical mindset with a focus on improving operational performance and efficiency.",ziprecruiter.com,NJ,Data Warehouse Analyst,,2025-06-20T00:00:00.0000000
Dallas,MDA Edge,6161678286063801141,https://jooble.org/jdp/6161678286063801141,"Dallas, TX",,"Job Overview: We are seeking a skilled <b>Tableau </b>Developer to design, develop, and maintain interactive BI dashboards and reports. The ideal candidate will have experience in data visualization, ETL processes, and cloud technologies to support business intelligence initiatives...&nbsp;",appcast.io,TX,Tableau Developer,,2025-07-16T00:00:00.0000000
Centreville,Optomi,-2388961515786392253,https://jooble.org/jdp/-2388961515786392253,"Centreville, VA",,"&nbsp;...across multiple teams 
 Proven ability to manage ambiguity and drive execution independently 
 Experience working with  Power BI  ,  <b>Tableau </b> , or other  reporting/analytics  tools (preferred)
 Familiarity with  ERP systems  or operational corporate environments is a...&nbsp;",ziprecruiter.com,VA,Business Analyst,,2025-06-19T00:00:00.0000000
Mequon,Charter Manufacturing,2296817877253249478,https://jooble.org/jdp/2296817877253249478,"Mequon, WI",,"&nbsp;...Computer Science, Mathematics, or related field. 
 Seven plus years’ experience working with Business Intelligence tools such as <b>Tableau,</b> Alteryx or Power BI. 
 Good verbal and written communication and data presentation skills including an ability to effectively communicate...&nbsp;",app.linkedin.com,WI,Business Intelligence and Analytics Lead,,2025-07-15T00:00:00.0000000
Doral,TBG | The Bachrach Group,-5524293013299677401,https://jooble.org/jdp/-5524293013299677401,"Doral, FL",,"&nbsp;...analysis. 
 Performs other duties as assigned 
 Knowledge, Skills and Abilities: 
 Advanced skills in Excel, ETL tools and techniques, <b>Tableau,</b> Power BI and/or other reporting data visualization tools 
 Experience using Human Resources Management Systems (Oracle HCM...&nbsp;",app.linkedin.com,FL,Human Resources Information System Analyst,,2025-07-15T00:00:00.0000000
New York,Essen Health Care,7592967139921455910,https://jooble.org/jdp/7592967139921455910,"New York, NY",,"&nbsp;...Relevant experience in healthcare is preferred, but not required. 
 Technical Skills:  Proficiency in business intelligence tools (e.g., <b>Tableau,</b> Power BI, SQL), data warehousing, and advanced analytics techniques. 
 Analytical Skills:  Strong analytical and problem-solving...&nbsp;",placed-app.com,NY,Senior Director of Business Intelligence and Operations (New York),Full-time,2025-07-01T11:48:28.1430000
Plano,Wheeler Staffing Partners,-1870187714058446432,https://jooble.org/jdp/-1870187714058446432,"Plano, TX",,"&nbsp;...mindset with a passion for data-driven decision making. 


 Preferred Skills 
 Familiarity with  BI tools  (such as Power BI, <b>Tableau,</b> etc.) is a plus. 
 Experience creating training materials or onboarding documentation. 
 Understanding of both  domestic and international...&nbsp;",app.linkedin.com,TX,Supply Chain Analyst,,2025-07-15T00:00:00.0000000
Saukville,Charter Steel,5524214986386378153,https://jooble.org/jdp/5524214986386378153,"Saukville, WI",,"&nbsp;...Bachelor’s degree in Business, MIS, Computer Science, Mathematics, or related field. 
~7+ years of experience using tools like Power BI, <b>Tableau,</b> or Alteryx to solve complex analytical challenges. 
~ Strong grasp of data storytelling, communication, and cross-functional...&nbsp;",ziprecruiter.com,WI,Business Intelligence & Analytics Lead - Operations,,2025-07-08T00:00:00.0000000
Albany,Kelly,-3522831792632259640,https://jooble.org/jdp/-3522831792632259640,"Albany, NY",,"&nbsp;...with leadership goals. 
 
 Required Qualifications: 
 Proven experience with data management tools (e.g., Excel, SQL, Power BI, <b>Tableau)</b>. 
 Demonstrated ownership and accountability in managing complex programs. 
 Experience working with engineering and technical teams...&nbsp;",app.linkedin.com,NY,Program Manager,,2025-07-15T00:00:00.0000000
Michigan,TruGreen,4075373319361575811,https://jooble.org/jdp/4075373319361575811,Michigan,,"&nbsp;...structured and unstructured data from various sources 
 Develop dashboards, reports, and visualizations using tools such as Power BI, <b>Tableau,</b> or Looker 
 Identify trends, correlations, and patterns in data to support business strategies 
 Collaborate with stakeholders...&nbsp;",app.linkedin.com,N/A,Data Analyst,,2025-07-15T00:00:00.0000000
Aurora,Compri Consulting,8841172847064314832,https://jooble.org/jdp/8841172847064314832,"Aurora, CO",,"&nbsp;...from a variety of sources, including unstructured web data, emailed reports, and other data systems. They will also be creating visualizations in <b>Tableau.</b> 

 Required: 
-Strong ETL / ELT expertise. 
-Expert level SQL coding. 
-Senior Tableau. 
-Data stewardship....&nbsp;",ziprecruiter.com,CO,Business Intelligence Developer,,2025-07-01T00:00:00.0000000
Chicago,Beam Suntory,3659836148957550950,https://jooble.org/jdp/3659836148957550950,"Chicago, IL",,"&nbsp;...degree in Social Sciences, Business Analytics, Data Science, or a related field. 
 Proficiency in data visualization tools (e.g., <b>Tableau,</b> Power BI) and statistical software (e.g., R, Python). 
 Experience with advanced analytics techniques (including predictive modeling...&nbsp;",placed-app.com,IL,People Analytics & Insights Partner (Chicago),Full-time,2025-07-16T12:14:50.2030000
Chicago,"Synchronous Solutions, Inc.",3454325193569156562,https://jooble.org/jdp/3454325193569156562,"Chicago, IL",,"&nbsp;...Knowledge of VBA, SQL, HTML, JavaScript, and other automation tools is advantageous. 
 Experience with advanced Excel, Power BI, <b>Tableau,</b> and programming languages like Python, Java, HTML, ASP.NET. 
 Knowledge of DBMS systems such as MySQL and SQL Server. 
 Familiarity...&nbsp;",placed-app.com,IL,UiPath Developer Contractor (Remote) (Chicago),Full-time,2025-07-07T10:48:05.6470000
Nashville,The Corporate,5580385451395482084,https://jooble.org/jdp/5580385451395482084,"Nashville, TN",,"&nbsp;...Experience 
·& & & & & & & & Certification in project management – e.g., PMP 
·& & & & & & & & Bachelor’s degree in Business Administration or Project Management 
 Beginner level experience with process mapping and data analysis tools – e.g., Visio, Power BI or <b>Tableau</b>...&nbsp;",ziprecruiter.com,TN,Associate Project Manager IT,,2025-07-13T00:00:00.0000000
New Hampshire,Harnham,-4674004920408357955,https://jooble.org/jdp/-4674004920408357955,New Hampshire,,"&nbsp;...Partner with Marketing, Consumer Insights, and Operations to define KPIs and optimize performance 
 Leverage tools like Power BI, <b>Tableau,</b> Python, SQL, and Google Analytics to uncover actionable insights 
 Translate complex data into strategic recommendations across the...&nbsp;",app.linkedin.com,N/A,Director of Analytics,,2025-07-15T00:00:00.0000000
West Allis,Truity Partners,-7894725261182904009,https://jooble.org/jdp/-7894725261182904009,"West Allis, WI",,"&nbsp;...with Microsoft Excel (pivot tables, VLOOKUP, etc.)
~ Experience with inventory and/or ERP systems 
~ Comfortable building reports and working on data visualization tools (Power BI, <b>Tableau,</b> etc.)
~ Strong-problem solving skills 
~ Excellent attention to detail...&nbsp;",ziprecruiter.com,WI,Inventory Analyst,,2025-07-04T00:00:00.0000000
Mountain View,Davita Inc.,-7573086160734408388,https://jooble.org/jdp/-7573086160734408388,"Mountain View, CA",,"&nbsp;...profit hospitals / health systems. 
~ Expertise in financial modeling, cost analysis, and data analytics tools (e.g., Excel, Power BI, <b>Tableau)</b>. 
~ Strong leadership, strategic thinking, and change management skills. 
~ Excellent communication, negotiation, and...&nbsp;",placed-app.com,CA,Director Strategic Cost Management - FT - Days - Supply Chain @ MV (Mountain View),Full-time,2025-07-01T11:56:24.5170000
Troy,Jars Cannabis,-1119471029310932275,https://jooble.org/jdp/-1119471029310932275,"Troy, MI",,"&nbsp;...macros). 
 o Experience with financial accounting software (e.g., Sage Intacct, SAP, NetSuite QuickBooks, etc.) and BI tools (e.g., <b>Tableau,</b> Power BI) a must-have. 
§ Experience specifically with Sage Intacct and Power BI a definite plus 
 o Experience with SQL and/or...&nbsp;",ziprecruiter.com,MI,Financial Data Analyst,,2025-07-11T00:00:00.0000000
Virginia Beach,Disability Solutions,5226614273156558726,https://jooble.org/jdp/5226614273156558726,"Virginia Beach, VA",,"&nbsp;...Logistics a plus!
• Strong analytical and problem-solving skills. 
• Proficiency in data analysis tools and software (e.g., Excel, SQL, <b>Tableau,</b> Power BI). 
• Excellent communication and presentation skills. 
• Ability to work independently and as part of a team. 
•...&nbsp;",oneredcent.com,VA,Student - Resolution Analyst,,2025-07-15T09:32:44.2200000
Austin,NOBLE CAPITAL GROUP LLC,2112958386336785677,https://jooble.org/jdp/2112958386336785677,"Austin, TX",,"&nbsp;...functionally with teams to improve transparency and financial reporting 

 PREFERRED TECHNICAL SKILLS 
 Power BI or other BI tools (e.g., <b>Tableau,</b> Fathom)
 Familiarity with financial and accounting systems 
 Strong Excel/Google Sheets proficiency 
 Experience with CRM or...&nbsp;",ziprecruiter.com,TX,Finance Systems Analyst,,2025-06-17T00:00:00.0000000
San Diego,GEICO,-7886396159308053996,https://jooble.org/jdp/-7886396159308053996,"San Diego, CA",,"&nbsp;.../Warehouse/Mart 
~ Experience in implementing or supporting Revenue or Expense analytical solutions via tools such as Power BI or <b>Tableau </b>
~ Strong understanding of Accounting processes and reporting expectations 
~ Ability to communicate effectively with leaders across...&nbsp;",placed-app.com,CA,Senior Staff Engineer - Finance Data Specialist (Remote) (San Diego),Full-time,2025-07-15T12:17:10.9100000
Westerville,"AssetWatch, Inc.",3699370235971601619,https://jooble.org/jdp/3699370235971601619,"Westerville, OH",,"&nbsp;...working to improve overall data hygiene. 

~ Build and maintain dashboards and reports using Excel, Google Sheets, or BI tools such as <b>Tableau </b>or Power BI. 

~ Collaborate with cross-functional teams to gather data, understand business needs, and deliver actionable...&nbsp;",ziprecruiter.com,OH,Junior FP&A Analyst,,2025-07-10T00:00:00.0000000
Burlington,STATE STREET CORPORATION,3426842782350355477,https://jooble.org/jdp/3426842782350355477,"Burlington, MA",,"&nbsp;...degree required; MBA or equivalent advanced degree preferred. 
# Expertise with Salesforce and sales analytics platforms (e.g., Clari, <b>Tableau,</b> Excel). 
# Familiarity with risk, compliance, and legal frameworks in SaaS or enterprise technology sales. 

 State Street is...&nbsp;",placed-app.com,MA,"Head of Sales Operations, CRD (Burlington)",Full-time,2025-07-16T12:13:17.1070000
Bedford,The Planet Group,-8659352871620523951,https://jooble.org/jdp/-8659352871620523951,"Bedford, MA",,"&nbsp;...management, sales forecasting, pricing, and financial reporting. 
 Knowledge of data management and analytics tools such as Power BI, <b>Tableau,</b> and similar platforms to create reports, dashboards, and data visualizations for insights. Additionally, familiar with MDM (Master...&nbsp;",ziprecruiter.com,MA,Senior Business Analyst,,2025-07-14T00:00:00.0000000
